Broad_Nationality_encoded,Stay_Category_encoded,Spend_Category_encoded,accom_type,London_or_out,Flow,Age,DayOfWeek,TripStartDay,Broad_Purpose_encoded,Business or Work,Education and Other,Holiday,VFF
UK,14-27 days,0-250 GBP,0,0,1.0,6,2,7,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,250-500 GBP,1,1,1.0,5,2,6,VFF,0.0,0.0,0.9916666666666668,0.008333333333333333
UK,4-13 days,250-500 GBP,0,0,1.0,4,3,7,VFF,0.0,0.0,0.05,0.95
North America,4-13 days,0-250 GBP,0,0,1.0,7,4,5,VFF,0.0,0.0,0.4333333333333333,0.5666666666666667
Asia,4-13 days,1000-5000 GBP,2,1,1.0,5,6,2,VFF,0.6,0.05,0.2,0.15
EU,1-3 days,0-250 GBP,2,1,5.0,7,3,1,Holiday,0.0,0.0,0.65,0.35
EU,14-27 days,1000-5000 GBP,0,0,5.0,5,7,1,Holiday,0.0,0.35,0.5,0.15
UK,1-3 months,0-250 GBP,0,0,1.0,5,3,4,Business or Work,0.1,0.05,0.061111111111111116,0.788888888888889
North America,1-3 days,500-1000 GBP,2,0,1.0,4,7,5,Holiday,0.09166666666666666,0.1,0.75,0.05833333333333333
EU,4-13 days,250-500 GBP,0,0,1.0,4,3,7,VFF,0.0,0.0,0.1114285714285714,0.8885714285714286
EU,14-27 days,1000-5000 GBP,2,1,5.0,6,1,1,Holiday,0.1,0.05,0.55,0.3
EU,1-3 days,500-1000 GBP,1,0,1.0,6,4,2,Business or Work,0.4658333333333332,0.5341666666666667,0.0,0.0
North America,4-13 days,500-1000 GBP,2,1,1.0,4,6,3,Holiday,0.025,0.0,0.875,0.1
North America,4-13 days,500-1000 GBP,1,0,1.0,6,7,3,Business or Work,0.0,0.0,1.0,0.0
EU,,500-1000 GBP,1,0,1.0,6,5,5,Holiday,0.9375,0.0,0.0625,0.0
UK,1-3 days,0-250 GBP,0,0,1.0,5,1,6,Holiday,0.0,0.0,0.21261904761904762,0.7873809523809524
Asia,4-13 days,1000-5000 GBP,1,0,1.0,6,3,5,Business or Work,0.4333333333333334,0.05,0.4666666666666667,0.05
EU,1-3 days,250-500 GBP,1,0,1.0,7,1,7,Holiday,0.16968309468309467,0.0,0.6076619214119214,0.2226549839049839
EU,1-3 days,0-250 GBP,2,0,1.0,4,1,6,VFF,0.15,0.0,0.85,0.0
EU,1-3 days,0-250 GBP,1,0,1.0,4,1,7,Holiday,0.0,0.0,0.8875504986163385,0.11244950138366142
Asia,4-13 days,0-250 GBP,1,1,1.0,4,6,2,Business or Work,0.5592857142857144,0.0,0.3407142857142857,0.1
EU,4-13 days,0-250 GBP,0,1,1.0,4,7,1,VFF,0.0,0.05,0.15,0.8
North America,4-13 days,1000-5000 GBP,1,1,1.0,4,2,5,Business or Work,0.795,0.0,0.205,0.0
