Broad_Nationality_encoded,Stay_Category_encoded,Spend_Category_encoded,accom_type,London_or_out,Flow,Age,DayOfWeek,TripStartDay,Broad_Purpose_encoded,Business or Work,Education and Other,Holiday,VFF
EU,1-3 days,500-1000 GBP,1,1,1.0,8,7,6,VFF,0.15,0.0,0.7,0.15
EU,4-13 days,0-250 GBP,0,0,1.0,6,4,7,VFF,0.0,0.0,0.004545454545454545,0.9954545454545455
Africa,14-27 days,0-250 GBP,0,0,1.0,8,7,5,VFF,0.0,0.03,0.2,0.77
EU,1-3 days,,0,1,5.0,2,5,4,VFF,0.9,0.1,0.0,0.0
EU,1-3 days,0-250 GBP,1,1,1.0,4,1,7,Holiday,0.0,0.0,1.0,0.0
North America,4-13 days,0-250 GBP,0,1,1.0,2,2,5,VFF,0.0,0.0,0.4833333333333334,0.5166666666666666
EU,4-13 days,250-500 GBP,0,0,1.0,5,6,3,Holiday,0.1325750638250638,0.0,0.41928071928071925,0.4481442168942168
UK,,0-250 GBP,2,0,1.0,6,6,6,Business or Work,0.6483333333333333,0.0,0.16,0.19166666666666665
Asia,1-3 days,0-250 GBP,0,0,1.0,5,2,7,VFF,0.0,0.0,0.175,0.825
EU,1-3 days,250-500 GBP,1,0,1.0,6,6,4,Business or Work,0.7774063436563436,0.0,0.2225936563436563,0.0
EU,4-13 days,500-1000 GBP,1,0,1.0,6,1,4,Holiday,0.00909090909090909,0.0,0.6359848484848485,0.35492424242424236
EU,1-3 days,250-500 GBP,0,0,1.0,4,6,4,Business or Work,0.0,0.0,0.7155555555555556,0.28444444444444444
EU,4-13 days,1000-5000 GBP,0,0,1.0,2,5,7,VFF,0.1,0.175,0.625,0.1
EU,,250-500 GBP,0,0,1.0,5,5,5,Business or Work,0.8737842712842714,0.0,0.1262157287157287,0.0
EU,1-3 days,250-500 GBP,2,0,1.0,2,1,6,Holiday,0.0,0.05,0.6083333333333333,0.3416666666666667
Asia,4-13 days,1000-5000 GBP,2,1,1.0,6,2,4,Holiday,0.2,0.025,0.675,0.1
Non-EU Europe,4-13 days,250-500 GBP,1,0,1.0,4,3,3,Holiday,0.1,0.05,0.725,0.125
EU,1-3 days,0-250 GBP,1,1,1.0,6,7,6,Holiday,0.4626190476190476,0.0,0.5373809523809523,0.0
North America,4-13 days,more than 5000 GBP,1,1,1.0,5,5,1,Business or Work,0.525,0.0,0.4,0.075
EU,1-3 days,500-1000 GBP,1,0,1.0,5,7,6,Business or Work,0.15,0.0,0.7666666666666667,0.08333333333333333
Africa,14-27 days,1000-5000 GBP,1,1,1.0,6,2,3,Holiday,0.1,0.0,0.9,0.0
North America,4-13 days,0-250 GBP,1,1,5.0,4,6,6,Holiday,0.25,0.0,0.6,0.15
EU,,250-500 GBP,1,0,1.0,6,4,4,Business or Work,1.0,0.0,0.0,0.0
EU,1-3 days,250-500 GBP,0,0,1.0,6,4,3,Business or Work,0.75,0.0,0.15,0.1
North America,4-13 days,0-250 GBP,0,0,1.0,8,4,4,VFF,0.05,0.0,0.2,0.75
Non-EU Europe,4-13 days,0-250 GBP,0,0,1.0,5,6,2,Business or Work,0.075,0.0,0.0,0.925
UK,4-13 days,500-1000 GBP,0,0,1.0,4,5,7,VFF,0.1125,0.0,0.0,0.8875
Asia,4-13 days,250-500 GBP,0,1,1.0,4,1,4,Holiday,0.0,0.0,0.35,0.65
Asia,3-6 months,1000-5000 GBP,0,1,1.0,4,4,2,VFF,0.05,0.15,0.45,0.35
Asia,1-3 days,0-250 GBP,1,1,1.0,5,1,6,Holiday,0.3008333333333333,0.0,0.6991666666666667,0.0
UK,1-3 days,500-1000 GBP,2,0,1.0,7,2,7,VFF,0.0,0.0,0.4666666666666666,0.5333333333333333
EU,1-3 days,500-1000 GBP,1,0,1.0,5,3,1,Business or Work,0.3805555555555556,0.0,0.6138888888888889,0.005555555555555555
EU,4-13 days,0-250 GBP,1,1,1.0,4,7,3,Holiday,0.05,0.0,0.95,0.0
North America,4-13 days,500-1000 GBP,0,0,1.0,5,5,6,VFF,0.0,0.0,0.2966666666666667,0.7033333333333334
North America,14-27 days,500-1000 GBP,0,0,1.0,5,6,4,VFF,0.0,0.0,0.35,0.65
EU,1-3 days,250-500 GBP,0,1,1.0,6,6,4,Holiday,0.5666666666666667,0.0,0.175,0.25833333333333336
North America,4-13 days,1000-5000 GBP,0,0,1.0,4,3,1,Holiday,0.15,0.03333333333333333,0.4,0.4166666666666667
EU,4-13 days,500-1000 GBP,0,1,1.0,5,2,3,VFF,0.0,0.05,0.65,0.3
EU,4-13 days,250-500 GBP,1,1,1.0,5,2,6,Holiday,0.0,0.0,0.6488888888888891,0.3511111111111111
EU,4-13 days,,0,0,5.0,2,1,2,Business or Work,0.3,0.1,0.4,0.2
EU,,500-1000 GBP,1,1,1.0,5,3,3,Business or Work,1.0,0.0,0.0,0.0
North America,1-3 months,1000-5000 GBP,1,0,1.0,7,3,1,Holiday,0.05,0.1,0.6666666666666666,0.18333333333333332
EU,1-3 days,0-250 GBP,1,0,5.0,7,5,3,Holiday,0.15,0.0,0.8,0.05
EU,14-27 days,1000-5000 GBP,1,1,5.0,4,5,2,Holiday,0.35,0.0,0.6,0.05
Asia,4-13 days,1000-5000 GBP,1,1,1.0,4,4,1,Holiday,0.1,0.0,0.9,0.0
Africa,4-13 days,0-250 GBP,0,0,1.0,3,3,5,VFF,0.0,0.22916666666666666,0.2708333333333333,0.5
EU,4-13 days,0-250 GBP,1,0,1.0,8,1,5,VFF,0.1,0.0,0.016666666666666666,0.8833333333333332
EU,4-13 days,250-500 GBP,1,1,1.0,7,3,5,VFF,0.1,0.0,0.6958333333333334,0.20416666666666666
Asia,4-13 days,1000-5000 GBP,1,0,1.0,4,7,1,Business or Work,0.6833333333333333,0.0,0.31666666666666665,0.0
UK,4-13 days,1000-5000 GBP,0,1,1.0,5,4,6,Business or Work,0.275,0.0,0.3,0.425
EU,1-3 days,,0,0,5.0,6,7,6,Business or Work,1.0,0.0,0.0,0.0
EU,4-13 days,1000-5000 GBP,1,1,1.0,4,5,1,Business or Work,0.325,0.025,0.65,0.0
EU,4-13 days,250-500 GBP,0,1,1.0,7,3,7,Holiday,0.0,0.0,0.05,0.95
North America,3-6 months,1000-5000 GBP,0,1,1.0,2,5,4,VFF,0.0,0.55,0.35,0.1
EU,,250-500 GBP,1,0,1.0,5,6,6,Business or Work,1.0,0.0,0.0,0.0
EU,,250-500 GBP,1,1,1.0,6,4,4,Business or Work,1.0,0.0,0.0,0.0
EU,,,0,0,5.0,7,5,5,Business or Work,1.0,0.0,0.0,0.0
EU,14-27 days,0-250 GBP,0,0,1.0,6,7,1,VFF,0.05,0.014285714285714285,0.08214285714285714,0.8535714285714284
EU,1-3 days,,0,0,5.0,5,4,2,Business or Work,1.0,0.0,0.0,0.0
North America,4-13 days,1000-5000 GBP,1,1,1.0,6,3,1,Business or Work,0.125,0.0,0.875,0.0
EU,4-13 days,500-1000 GBP,1,1,1.0,6,1,1,Holiday,0.0,0.0,1.0,0.0
EU,1-3 days,500-1000 GBP,1,1,5.0,5,7,6,Holiday,0.525,0.0,0.4750000000000001,0.0
UK,1-3 days,,0,0,5.0,4,1,7,VFF,0.05,0.0,0.0,0.95
North America,,500-1000 GBP,1,0,1.0,6,5,5,Holiday,1.0,0.0,0.0,0.0
UK,4-13 days,500-1000 GBP,0,0,1.0,6,1,5,VFF,0.016666666666666666,0.0,0.475,0.5083333333333334
