Broad_Nationality_encoded,Stay_Category_encoded,Spend_Category_encoded,accom_type,London_or_out,Flow,Age,DayOfWeek,TripStartDay,Broad_Purpose_encoded,Business or Work,Education and Other,Holiday,VFF
EU,1-3 days,500-1000 GBP,1,0,1.0,4,6,5,Business or Work,1.0,0.0,0.0,0.0
EU,,0-250 GBP,0,0,5.0,7,1,1,VFF,0.2,0.0,0.26666666666666666,0.5333333333333333
"Australia, NZ and Oceania",4-13 days,0-250 GBP,0,1,1.0,5,2,7,Holiday,0.0,0.0,0.1538095238095238,0.8461904761904762
Asia,4-13 days,500-1000 GBP,1,1,1.0,6,6,3,Education and Other,0.07083333333333333,0.05,0.8791666666666668,0.0
EU,4-13 days,0-250 GBP,0,0,1.0,4,2,6,VFF,0.0,0.0,0.09558273869495097,0.9044172613050492
Asia,4-13 days,500-1000 GBP,1,1,1.0,6,4,5,Business or Work,0.1,0.0,0.8833333333333332,0.016666666666666666
EU,1-3 days,0-250 GBP,0,0,5.0,4,1,7,Holiday,0.48000367687867695,0.0,0.1310671273171273,0.38892919580419577
North America,1-3 days,1000-5000 GBP,1,1,1.0,6,6,5,Business or Work,0.95,0.0,0.05,0.0
EU,14-27 days,500-1000 GBP,1,0,5.0,4,6,7,VFF,0.06666666666666667,0.0,0.7833333333333334,0.15
EU,1-3 days,250-500 GBP,1,0,5.0,4,1,7,Holiday,0.0,0.0,1.0,0.0
Africa,1-3 days,250-500 GBP,1,0,1.0,5,6,4,Business or Work,0.9166666666666666,0.0,0.08333333333333333,0.0
Asia,14-27 days,1000-5000 GBP,0,1,1.0,4,6,7,Holiday,0.0,0.0,0.05,0.95
EU,4-13 days,0-250 GBP,0,1,1.0,4,6,2,VFF,0.2333333333333333,0.15,0.16666666666666666,0.45
UK,4-13 days,0-250 GBP,0,0,1.0,4,2,6,VFF,0.0,0.0,0.34359126984126986,0.6564087301587301
EU,4-13 days,0-250 GBP,1,0,1.0,5,2,2,Business or Work,0.6083333333333334,0.0,0.3916666666666667,0.0
EU,1-3 days,250-500 GBP,1,0,5.0,7,2,1,VFF,0.08,0.0,0.85,0.06999999999999999
North America,14-27 days,250-500 GBP,1,0,1.0,8,4,5,VFF,0.0,0.0,0.7979924242424243,0.20200757575757572
UK,1-3 months,1000-5000 GBP,0,0,1.0,8,1,6,VFF,0.0,0.0,0.05,0.95
Asia,14-27 days,250-500 GBP,0,0,1.0,5,6,7,VFF,0.0,0.0,0.0,1.0
North America,4-13 days,500-1000 GBP,0,1,1.0,4,1,2,VFF,0.0,0.0,0.36666666666666664,0.6333333333333333
North America,14-27 days,500-1000 GBP,0,0,1.0,7,2,3,VFF,0.0,0.0,0.05,0.95
Asia,4-13 days,500-1000 GBP,1,1,1.0,4,1,4,Holiday,0.3385714285714286,0.0,0.6614285714285715,0.0
EU,1-3 months,1000-5000 GBP,2,1,1.0,2,3,6,Education and Other,0.25,0.05,0.55,0.15
North America,4-13 days,1000-5000 GBP,0,1,1.0,5,7,6,Holiday,0.1,0.016666666666666666,0.55,0.3333333333333333
North America,4-13 days,500-1000 GBP,1,1,5.0,8,2,7,Holiday,0.05,0.0,0.825,0.125
EU,1-3 days,0-250 GBP,1,0,1.0,4,2,1,Holiday,0.0,0.0,1.0,0.0
North America,4-13 days,1000-5000 GBP,1,1,1.0,6,3,6,Holiday,0.24666666666666667,0.0,0.4066666666666666,0.3466666666666666
UK,1-3 months,500-1000 GBP,0,0,1.0,4,4,6,VFF,0.0,0.0,0.0,1.0
