Broad_Nationality_encoded,Stay_Category_encoded,Spend_Category_encoded,accom_type,London_or_out,Flow,Age,DayOfWeek,TripStartDay,Broad_Purpose_encoded,Business or Work,Education and Other,Holiday,VFF
South America,4-13 days,500-1000 GBP,0,0,1.0,6,4,7,Business or Work,0.2,0.0,0.6333333333333333,0.16666666666666666
"Australia, NZ and Oceania",1-3 days,500-1000 GBP,1,1,1.0,5,7,6,Holiday,0.3325,0.1,0.4,0.1675
Asia,1-3 days,1000-5000 GBP,1,0,1.0,2,1,6,Holiday,0.05,0.05,0.7057142857142857,0.19428571428571428
North America,1-3 days,0-250 GBP,0,0,1.0,4,1,6,Holiday,0.0,0.0,0.7541666666666667,0.24583333333333335
Africa,14-27 days,1000-5000 GBP,1,1,1.0,7,2,3,Holiday,0.3,0.0,0.45,0.25
EU,,0-250 GBP,1,1,1.0,4,2,2,Business or Work,0.5675000000000001,0.0,0.43249999999999994,0.0
North America,14-27 days,1000-5000 GBP,1,0,1.0,7,6,4,Holiday,0.205,0.0,0.68,0.11499999999999999
EU,,0-250 GBP,0,0,1.0,5,4,4,Business or Work,0.7959523809523811,0.0,0.20404761904761903,0.0
EU,4-13 days,0-250 GBP,0,0,1.0,7,4,1,VFF,0.0,0.0,0.007142857142857143,0.9928571428571429
EU,4-13 days,0-250 GBP,2,0,1.0,2,2,6,Holiday,0.0,0.05,0.85,0.1
Africa,1-3 months,500-1000 GBP,0,1,1.0,7,6,3,VFF,0.0,0.0,0.15,0.85
EU,4-13 days,500-1000 GBP,0,0,1.0,2,2,3,Holiday,0.0,0.0,0.95,0.05
EU,4-13 days,500-1000 GBP,1,1,1.0,4,7,1,Business or Work,0.12380952380952381,0.0,0.869047619047619,0.007142857142857143
EU,1-3 days,0-250 GBP,0,0,5.0,7,2,7,VFF,0.24045634920634917,0.0,0.33404761904761904,0.4254960317460318
EU,4-13 days,500-1000 GBP,0,0,1.0,6,1,4,Holiday,0.025,0.0,0.675,0.3
Africa,3-6 months,more than 5000 GBP,0,0,1.0,2,3,4,Education and Other,0.05,0.35,0.35,0.25
EU,4-13 days,0-250 GBP,0,0,1.0,4,3,6,Holiday,0.0,0.08012806637806637,0.0,0.9198719336219335
EU,4-13 days,250-500 GBP,0,0,1.0,6,7,1,VFF,0.0,0.0,0.36573412698412694,0.634265873015873
EU,4-13 days,500-1000 GBP,0,0,1.0,4,6,1,Holiday,0.0,0.0,0.075,0.925
EU,1-3 days,250-500 GBP,1,1,1.0,5,1,7,Holiday,0.04658036161286558,0.0,0.8529274542949855,0.1004921840921488
EU,1-3 days,0-250 GBP,0,1,1.0,4,2,7,Holiday,0.09992886499465445,0.0,0.18597059373375166,0.714100541271594
EU,1-3 days,0-250 GBP,0,1,5.0,4,7,6,VFF,0.6075,0.0,0.0,0.3925
Asia,4-13 days,500-1000 GBP,0,0,1.0,8,5,6,VFF,0.0,0.0,0.3375,0.6625
North America,4-13 days,1000-5000 GBP,1,1,1.0,7,5,7,Holiday,0.73,0.0,0.26999999999999996,0.0
North America,4-13 days,1000-5000 GBP,1,0,1.0,4,6,3,Holiday,0.95,0.0,0.05,0.0
North America,,500-1000 GBP,1,1,5.0,5,4,4,Business or Work,0.45,0.0,0.55,0.0
UK,3-6 months,more than 5000 GBP,2,1,5.0,7,2,3,Holiday,0.1,0.05,0.6,0.25
North America,4-13 days,1000-5000 GBP,1,1,1.0,7,5,7,Holiday,0.73,0.0,0.26999999999999996,0.0
EU,14-27 days,0-250 GBP,0,0,5.0,5,5,3,VFF,0.02142857142857143,0.014285714285714285,0.5916666666666667,0.3726190476190476
